STARTED:[2015-03-14|00:25:49]
[EXCEPTION] [2015-03-14|00:25:49] Sending SMS to Tropo...
[EXCEPTION] [2015-03-14|00:25:50] Sending SMS to Tropo...
[EXCEPTION] [2015-03-14|00:26:53] Sending SMS to Tropo...
[EXCEPTION] [2015-03-14|00:26:54] Sending SMS to Tropo...
[EXCEPTION] [2015-03-14|00:27:45] Sending SMS to Tropo...
[EXCEPTION] [2015-03-14|00:27:46] Sending SMS to Tropo...
[EXCEPTION] [2015-03-14|00:31:56] Sending SMS to Tropo...
[EXCEPTION] [2015-03-14|00:31:57] Sending SMS to Tropo...
[EXCEPTION] [2015-03-14|01:14:23] Sending SMS to Tropo...
[EXCEPTION] [2015-03-14|01:14:24] Sending SMS to Tropo...
[EXCEPTION] [2015-03-14|01:15:37] Sending SMS to Tropo...
[EXCEPTION] [2015-03-14|01:15:38] Sending SMS to Tropo...
[EXCEPTION] [2015-03-14|01:18:07] Sending SMS to Tropo...
[EXCEPTION] [2015-03-14|01:18:08] Sending SMS to Tropo...
[EXCEPTION] [2015-03-14|01:18:09] Sending SMS to Tropo...
